arxiv_id,title,year,category
1301.3781,Efficient Estimation of Word Representations in Vector Space (Word2Vec),2013,NLP / Embeddings
1409.0473,Neural Machine Translation by Jointly Learning to Align and Translate (Bahdanau Attention),2014,NLP / Embeddings
1409.3215,Sequence to Sequence Learning with Neural Networks (Seq2Seq),2014,NLP / Embeddings
1607.01759,Bag of Tricks for Efficient Text Classification (FastText),2016,NLP / Embeddings
1802.05365,Deep Contextualized Word Representations (ELMo),2018,NLP / Embeddings
1706.03762,Attention Is All You Need (Transformer),2017,NLP / Embeddings
1810.04805,BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding,2018,Language Models
1906.08237,XLNet: Generalized Autoregressive Pretraining for Language Understanding,2019,Language Models
1907.11692,RoBERTa: A Robustly Optimized BERT Pretraining Approach,2019,Language Models
1909.11942,ALBERT: A Lite BERT for Self-supervised Learning of Language Representations,2019,Language Models
1910.01108,DistilBERT: a distilled version of BERT,2019,Language Models
1910.10683,Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer (T5),2019,Language Models
2005.14165,Language Models are Few-Shot Learners (GPT-3),2020,Language Models
2203.02155,Training language models to follow instructions with human feedback (InstructGPT),2022,Language Models
2201.11903,Chain-of-Thought Prompting Elicits Reasoning in Large Language Models,2022,Language Models
2302.13971,LLaMA: Open and Efficient Foundation Language Models,2023,Language Models
2307.09288,Llama 2: Open Foundation and Fine-Tuned Chat Models,2023,Language Models
1409.1556,Very Deep Convolutional Networks for Large-Scale Image Recognition (VGGNet),2014,Computer Vision
1409.4842,Going Deeper with Convolutions (GoogLeNet / Inception),2014,Computer Vision
1512.03385,Deep Residual Learning for Image Recognition (ResNet),2015,Computer Vision
1608.06993,Densely Connected Convolutional Networks (DenseNet),2016,Computer Vision
1704.04861,MobileNets: Efficient Convolutional Neural Networks for Mobile Vision Applications,2017,Computer Vision
1905.11946,EfficientNet: Rethinking Model Scaling for Convolutional Neural Networks,2019,Computer Vision
2010.11929,An Image is Worth 16x16 Words: Transformers for Image Recognition at Scale (ViT),2020,Computer Vision
2103.14030,Swin Transformer: Hierarchical Vision Transformer using Shifted Windows,2021,Computer Vision
1311.2524,Rich Feature Hierarchies for Accurate Object Detection and Semantic Segmentation (R-CNN),2013,Object Detection
1504.08083,Fast R-CNN,2015,Object Detection
1506.01497,Faster R-CNN: Towards Real-Time Object Detection with Region Proposal Networks,2015,Object Detection
1506.02640,You Only Look Once: Unified Real-Time Object Detection (YOLOv1),2015,Object Detection
1505.04597,U-Net: Convolutional Networks for Biomedical Image Segmentation,2015,Object Detection
1512.02325,SSD: Single Shot MultiBox Detector,2015,Object Detection
1612.08242,YOLO9000: Better Faster Stronger (YOLOv2),2016,Object Detection
1804.02767,YOLOv3: An Incremental Improvement,2018,Object Detection
2005.12872,End-to-End Object Detection with Transformers (DETR),2020,Object Detection
1312.6114,Auto-Encoding Variational Bayes (VAE),2013,Generative Models
1406.2661,Generative Adversarial Networks (GAN),2014,Generative Models
1411.1784,Conditional Generative Adversarial Nets (cGAN),2014,Generative Models
1511.06434,Unsupervised Representation Learning with Deep Convolutional GANs (DCGAN),2015,Generative Models
1611.07004,Image-to-Image Translation with Conditional Adversarial Networks (Pix2Pix),2016,Generative Models
1703.10593,Unpaired Image-to-Image Translation using Cycle-Consistent Adversarial Networks (CycleGAN),2017,Generative Models
1812.04948,A Style-Based Generator Architecture for Generative Adversarial Networks (StyleGAN),2018,Generative Models
2006.11239,Denoising Diffusion Probabilistic Models (DDPM),2020,Generative Models
2102.12092,Zero-Shot Text-to-Image Generation (DALL-E),2021,Generative Models
2103.00020,Learning Transferable Visual Models From Natural Language Supervision (CLIP),2021,Generative Models
2112.10752,High-Resolution Image Synthesis with Latent Diffusion Models (Stable Diffusion),2021,Generative Models
1412.6980,Adam: A Method for Stochastic Optimization,2014,Training Techniques
1502.03167,Batch Normalization: Accelerating Deep Network Training by Reducing Internal Covariate Shift,2015,Training Techniques
1503.02531,Distilling the Knowledge in a Neural Network,2015,Training Techniques
1607.06450,Layer Normalization,2016,Training Techniques
2106.09685,LoRA: Low-Rank Adaptation of Large Language Models,2021,Training Techniques
2205.14135,FlashAttention: Fast and Memory-Efficient Exact Attention with IO-Awareness,2022,Training Techniques
1911.05722,Momentum Contrast for Unsupervised Visual Representation Learning (MoCo),2019,Self-supervised / Multimodal
2002.05709,A Simple Framework for Contrastive Learning of Visual Representations (SimCLR),2020,Self-supervised / Multimodal
2104.14294,Emerging Properties in Self-Supervised Vision Transformers (DINO),2021,Self-supervised / Multimodal
2111.06377,Masked Autoencoders Are Scalable Vision Learners (MAE),2021,Self-supervised / Multimodal
2201.12086,BLIP: Bootstrapping Language-Image Pre-training for Unified Vision-Language Understanding and Generation,2022,Self-supervised / Multimodal
2204.14198,Flamingo: a Visual Language Model for Few-Shot Learning,2022,Self-supervised / Multimodal
1609.02907,Semi-Supervised Classification with Graph Convolutional Networks (GCN),2016,Graph / Other
1706.02216,Inductive Representation Learning on Large Graphs (GraphSAGE),2017,Graph / Other
1710.10903,Graph Attention Networks (GAT),2017,Graph / Other
1410.5401,Neural Turing Machines,2014,Graph / Other
1609.03499,WaveNet: A Generative Model for Raw Audio,2016,Graph / Other
1712.05884,Natural TTS Synthesis by Conditioning WaveNet on Mel Spectrogram Predictions (Tacotron 2),2017,Graph / Other
1703.03400,Model-Agnostic Meta-Learning for Fast Adaptation of Deep Networks (MAML),2017,Graph / Other
2312.00752,Mamba: Linear-Time Sequence Modeling with Selective State Spaces,2023,Graph / Other
